"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_01_1-2-35_1_21574.csv","Sample5_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_02_1-2-35_1_21582.csv","Sample6_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_03_1-2-35_1_21590.csv","Sample7_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_01_1-2-33_1_21544.csv","Sample8_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_02_1-2-33_1_21554.csv","Sample9_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_03_1-2-33_1_21564.csv","Sample10_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_01_1-2-32_1_21542.csv","Sample11_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_02_1-2-32_1_21552.csv","Sample12_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_03_1-2-32_1_21562.csv","Sample13_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_01_1-2-37_1_21600.csv","Sample14_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_02_1-2-37_1_21608.csv","Sample15_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_03_1-2-37_1_21616.csv"
0,289.056529150398,0.0827783,290.063781571,"C_11 H_14 O_9","C11H14O9","C_11 H_13 O_9",16,11,1.273,0.818,11,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,682829.666666667,289.056535767022,0.137909581067688,3,0,0.08,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426305,4789269,NA,NA,5630169,NA
0,289.069348796356,0.1528665,290.076669571,"C_8 H_19 O_9 P_1","C8H19O9P","C_8 H_18 O_9 P_1",1,8,2.375,1.125,8,19,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,655720.666666667,289.069355784575,0.0452742792967181,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,TRUE,"C_19 H_14 O_1 S_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5005319,3933210,NA,3415332,NA,NA
-1,289.071739412261,0.0753933,290.079037714,"C_15 H_14 O_6","C15H14O6","C_15 H_13 O_6",24,15,0.933,0.4,15,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,691986.333333333,289.071747273545,0.0250899772728274,12,0.33,0.5,9,0,0,0,1,0,1,0,0,0,0,0,0,0,4.43,58.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.010073562374,NA,NA,NA,NA,247,FALSE,NA,NA,NA,NA,11898207,13191778,12177877,9834224,9440837,8399219,21401608,21353500,22008284,18666790,25651426,6160661
0,289.075126751787,0.0225143,290.082409714,"C_12 H_18 O_6 S_1","C12H18O6S","C_12 H_17 O_6 S_1",10,12,1.5,0.5,12,18,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,725733,289.075134693011,0.0536158146522652,11,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1.63,4328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729.996967476789,NA,NA,NA,NA,156,FALSE,NA,NA,NA,NA,5533025,6724196,5497303,3829490,5140039,4442485,5767178,5334045,5812701,5420327,7334117,NA
0,289.08700223202,0.0523726,290.094293857,"C_19 H_14 O_3","C19H14O3","C_19 H_13 O_3",1,19,0.737,0.158,19,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,755434,289.087008545709,0.242791814133715,2,0.62,0.66,13,1,0,1,0,0,0,0,0,0,0,0,0,0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697698,NA,NA,4020461,NA
0,289.092873708933,0.057949,290.100166952,"C_12 H_18 O_8","C12H18O8","C_12 H_17 O_8",9,12,1.5,0.667,12,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,693485,289.092882057574,0.118171520420343,7,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,FALSE,NA,NA,NA,NA,4289897,3916396,NA,NA,NA,NA,9949201,9475109,11686373,7988527,11528433,NA
-1,289.108156008963,0.0322148,290.115423095,"C_16 H_18 O_5","C16H18O5","C_16 H_17 O_5",23,16,1.125,0.312,16,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,670794.75,289.108163891667,0.0125375157959889,12,0.27,0.41,8,0,0,0,1,0,1,0,0,0,0,0,0,0,8.18,-58.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.596196894063,NA,NA,NA,NA,93,FALSE,NA,NA,NA,NA,28806512,27478642,27382246,23203584,22416980,23464322,32165912,31347756,31904236,29119798,43477244,12153128
0,289.129252835737,0.0795005,290.136552333,"C_13 H_22 O_7","C13H22O7","C_13 H_21 O_7",8,13,1.692,0.538,13,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,727233.111111111,289.129261312921,0.0567384676338073,9,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,FALSE,NA,NA,NA,NA,3509626,4745853,NA,4237066,NA,3803532,4636706,6366262,4076023,5547327,8521992,NA
-1,289.144545054099,0.0448386,290.151808476,"C_17 H_22 O_4","C17H22O4","C_17 H_21 O_4",23,17,1.294,0.235,17,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,678486.916666667,289.144552887591,0.0295259292885822,12,0.23,0.33,7,0,0,0,1,0,1,0,0,0,0,0,0,0,7.09,-12.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.233449475894,NA,NA,NA,NA,54,FALSE,NA,NA,NA,NA,22613376,22891140,23630326,26431248,23613028,22972818,24317994,26055740,26415614,25204038,36628756,7844155
0,289.180909146023,0.0285298,290.188193857,"C_18 H_26 O_3","C18H26O3","C_18 H_25 O_3",18,18,1.444,0.167,18,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,717646.416666667,289.180916819042,0.057757270005526,12,0.2,0.27,6,0,0,0,1,0,1,0,0,0,0,0,0,0,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,FALSE,NA,NA,NA,NA,4763025,5548693,6386183,10301216,9367156,8464803,7925818,7271501,7631376,7640406,10185002,5378382
