"mz","MDL_3.7","ResPow","refe","m1","SE","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-6_1_21280.csv","Sample5_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-8_1_21306.csv","Sample6_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_02_1-2-6_1_21290.csv","Sample7_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_02_1-2-8_1_21314.csv","Sample8_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-6_1_21298.csv","Sample9_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-8_1_21324.csv"
147.085621595855,3417066.09746658,1431902.66666667,NA,147.085621595855,0.0325868053392545,NA,NA,NA,NA,6688096,NA,6126901,NA,7432091
148.863797994053,3418171.81582668,1368560.33333333,NA,148.863797994053,0.0193647286972639,NA,NA,NA,NA,8541690,NA,8689096,NA,8388665
149.009567488252,3418171.81582668,1353258.66666667,NA,149.009568616309,0.0457473203389602,6096210,5991429,6907102,NA,NA,NA,NA,NA,NA
149.024420648463,3418171.81582668,1315280.33333333,149.02441742661,149.024425406847,0.0232068772864733,NA,NA,NA,7768471,NA,6861367,NA,7341737,NA
149.060799946471,3418171.81582668,1276586.14285714,149.06080280705,149.060802371555,0.0479908458243978,16221527,16040970,16073954,9253274,NA,8016443,NA,7814829,3739212
149.097213198717,3418171.81582668,1228009,NA,149.0972186,NA,NA,NA,NA,4174238,NA,NA,NA,NA,NA
150.886647389283,3419277.89198294,1292534.88888889,NA,150.88664884432,0.0197196761224147,20530720,21275852,19850662,9286227,30222026,9233152,33408654,8406889,33491212
151.040071447136,3419277.89198294,1335687.66666667,151.04006742661,151.040074953999,0.0295901337415879,4597299,3921118,3686840,13601379,NA,13464338,NA,14182266,NA
151.076454586836,3419277.89198294,1345166.33333333,151.07645280705,151.076457635085,0.0353979327046739,5290552,6530275,5123517,7238248,NA,7416598,NA,8116094,NA
151.112842374492,3419277.89198294,1299472.33333333,NA,151.112845201157,0.0324087801838356,8257084,6393063,7704001,5124716,NA,5861147,NA,5499779,NA
