"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3622.csv","Sample8_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3628.csv","Sample9_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3634.csv","Sample10_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3640.csv","Sample11_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3646.csv","Sample12_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3652.csv"
-1,553.00260265431,0.184901,554.009981523,"C_18 H_16 O_17 S_1 O18_1","C18H16O18S","C_18 H_15 O_17 S_1 O18_1",5,18,0.889,1,18,16,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758648.39675697,460572,553.00260265431,0.268648165518497,2,8,0.12,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.07,NA,NA,-283.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.177462646537,NA,117,FALSE,NA,NA,NA,NA,2923927,NA,2979639,NA,NA,NA,NA,NA,NA
-1,553.004933159268,0.4245773,554.012444812,"C_16 H_16 O_18 S_1 C13_2","C18H16O18S","C_16 H_15 O_18 S_1 C13_2",5,18,0.889,1,16,16,18,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758648.39675697,418204,553.004933159268,0.256151521507125,6,8,0.12,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.14,NA,664.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.699559730685,NA,NA,117,FALSE,NA,NA,2837557,NA,2858392,3028437,4089655,2840874,NA,NA,NA,3213893,NA
0,553.082874632954,0.2166398,554.090271103,"C_36 H_14 O_5 N_2","C36H14N2O5","C_36 H_13 O_5 N_2",1,36,0.389,0.139,36,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758648.39675697,446826,553.082874632954,0.117701611292414,6,0.83,0.84,31,1,0,1,0,0,0,0,0,0,0,0,0,0,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,FALSE,NA,NA,NA,6166627,NA,6514145,6133568,NA,NA,NA,5721048,5614160,5549599
-1,553.387493517864,0.0270511,554.394754952,"C_28 H_59 O_8 P_1","C28H59O8P","C_28 H_58 O_8 P_1",2,28,2.107,0.286,28,59,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758648.39675697,384246.25,553.387493517864,0.148487559658375,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.28,-58.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.632746906916,NA,NA,NA,191,TRUE,"C_39 H_54 S_1",11071373,12151915,9746565,3329477,NA,3553123,NA,NA,NA,4172796,2800252,3595859
-1,554.390851369487,0.0324344,555.398109787,"C_27 H_59 O_8 P_1 C13_1","C28H59O8P","C_27 H_58 O_8 P_1 C13_1",2,28,2.107,0.286,27,59,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759296.43781558,412206.666666667,554.390851369487,0.119895313392974,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.17,-58.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.632746906916,NA,NA,NA,191,TRUE,"C_38 H_54 S_1 C13_1",2797645,3730681,3193077,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,562.95404854111,0.3838029,563.961108523,"C_18 H_13 O_17 S_1 P_1","C18H13O17PS","C_18 H_12 O_17 S_1 P_1",1,18,0.722,0.944,18,13,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764487.8660826,383749,562.95404854111,0.29718493887434,2,6,0.33,13,0,0,0,1,1,0,0,0,0,0,0,0,0,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2779190,NA,3986587
0,565.041488563359,0.4232268,566.048525428,"C_30 H_14 O_12","C30H14O12","C_30 H_13 O_12",1,30,0.467,0.4,30,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766437.96684614,343180,565.041488563359,0.358067863377265,4,0.67,0.75,24,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,FALSE,NA,3123281,NA,NA,NA,NA,NA,NA,NA,NA,3477785,3760356,3986933
0,566.972357248873,0.1992272,567.979520523,"C_21 H_12 O_17 S_1","C21H12O17S","C_21 H_11 O_17 S_1",1,21,0.571,0.81,21,12,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767088.40978959,351748.285714286,566.972357248873,0.281142259247243,7,0,0.57,16,1,1,0,0,0,0,0,0,0,0,0,0,0,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,FALSE,NA,3285448,2819011,NA,3068849,NA,NA,3411742,5389639,4365403,3162599,NA,NA
0,579.039385182124,0.1904536,580.046551142,"C_20 H_21 O_18 P_1","C20H21O18P","C_20 H_20 O_18 P_1",1,20,1.05,0.9,20,21,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775563.44711231,284312,579.039385182124,0.023690739965801,2,0,0.1,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,TRUE,"C_31 H_16 O_10 S_1",NA,NA,NA,3285124,NA,NA,NA,3175732,NA,NA,NA,NA
-1,590.990771338363,0.170433,591.998148666,"C_24 H_16 O_14 S_2","C24H16O14S2","C_24 H_15 O_14 S_2",3,24,0.667,0.583,24,16,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2782763.18825457,332550.75,590.990771338363,0.13357410861952,12,0.12,0.53,17,1,1,0,0,0,0,0,0,0,0,0,0,0,6.29,-169.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.427513808406,NA,NA,NA,173,FALSE,NA,21285898,17498140,19023282,22953218,21281860,20563258,17876594,19643654,17515692,10550114,9993892,11748919
