"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_2.6","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsNelha35_01_1-1-35_1_3586.csv","Sample2_masslistsNelha36_03_1-1-36_1_3580.csv","Sample3_masslistsNelha53_02_1-1-53_1_3620.csv","Sample4_masslistsNelha54_01_1-1-54_1_3598.csv","Sample5_masslistsNelha54_03_1-1-54_1_3608.csv"
-1,329.13945327438,0.0200244,330.146723095,"C_19 H_22 O_5","C19H22O5","C_19 H_21 O_5",17,19,1.158,0.263,19,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,598343.8,329.139455262167,0.00684084137329117,5,0.29,0.39,9,0,0,0,1,0,1,0,0,0,0,0,0,0,5.31,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71581946573228,NA,NA,NA,NA,120,FALSE,NA,10738428,10491331,11499594,11720863,12212073
0,329.150704533048,0.0741494,330.157956484,"C_18 H_22 O_4 N_2","C18H22N2O4","C_18 H_21 O_4 N_2",7,18,1.222,0.222,18,22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,664424.75,329.150706636551,0.108455588265011,4,0.25,0.36,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,FALSE,NA,NA,2467270,3657805,2816162,3327853
0,329.160557348528,0.0561926,330.167852333,"C_16 H_26 O_7","C16H26O7","C_16 H_25 O_7",9,16,1.625,0.438,16,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,650362.8,329.160559312969,0.101678701290581,5,0,0.04,4,0,0,0,0,0,0,1,0,1,0,0,0,0,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,FALSE,NA,6560513,7853513,6924368,6838437,6485871
0,329.17584386258,0.0357923,330.183108476,"C_20 H_26 O_4","C20H26O4","C_20 H_25 O_4",15,20,1.3,0.2,20,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,699840.6,329.17584581451,0.110188783570133,5,0.25,0.33,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,FALSE,NA,4414213,3208653,3246163,4188328,4310900
-1,330.091177997535,0.054434,331.098436406,"C_13 H_18 O_9 C13_1","C14H18O9","C_13 H_17 O_9 C13_1",26,14,1.286,0.643,13,18,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,570288.333333333,330.091179073474,0.0228259109661125,3,0,0.16,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1.52,477.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.63055305455,NA,NA,NA,NA,139,FALSE,NA,NA,3071695,NA,2955666,3729521
0,330.098329843057,0.0590657,331.105586718,"C_17 H_17 O_6 N_1","C17H17NO6","C_17 H_16 O_6 N_1",11,17,1,0.353,17,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,623432,330.098331818696,0.0554278929474461,5,0.3,0.46,10,0,0,0,1,0,1,0,0,0,0,0,0,0,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,FALSE,NA,6052847,6375121,5056817,6244756,4933747
0,330.101767411503,0.2570905,331.108958718,"C_14 H_21 O_6 N_1 S_1","C14H21NO6S","C_14 H_20 O_6 N_1 S_1",1,14,1.5,0.429,14,21,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,748511.5,330.101768370885,0.315877711018886,2,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,FALSE,NA,2339824,2557650,NA,NA,NA
-1,330.106473777979,0.1741426,331.113692549,"C_17 H_18 O_6 C13_1","C18H18O6","C_17 H_17 O_6 C13_1",14,18,1,0.333,17,18,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,673140.75,330.10647573004,0.151401763931638,4,0.33,0.47,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1.27,283.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.042597707267,NA,NA,NA,NA,210,FALSE,NA,NA,2232019,2328882,2562454,3684469
0,330.109529390428,0.0431419,331.116820107,"C_16 H_17 O_5 N_3","C16H17N3O5","C_16 H_16 O_5 N_3",2,16,1.062,0.312,16,17,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,655253,330.109531341597,0.156158033738791,5,0.25,0.43,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,FALSE,NA,2372594,2787028,2154803,3643799,2932854
0,330.119464511809,0.0754605,331.126715956,"C_14 H_21 O_8 N_1","C14H21NO8","C_14 H_20 O_8 N_1",4,14,1.5,0.571,14,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,666688,330.119467142112,0.183332735846336,3,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,FALSE,NA,NA,NA,2781493,2419097,3111033
-1,330.127535274522,0.0304438,331.134821787,"C_14 H_22 O_8 C13_1","C15H22O8","C_14 H_21 O_8 C13_1",20,15,1.467,0.533,14,22,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,613955.4,330.12753720495,0.0969131580904285,5,0,0.09,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1.86,-130.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.915802463121,NA,NA,NA,NA,84,FALSE,NA,2307063,4843225,4487480,3006875,5199995
0,330.134702826218,0.0216191,331.141972099,"C_18 H_21 O_5 N_1","C18H21NO5","C_18 H_20 O_5 N_1",10,18,1.167,0.278,18,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,613158.6,330.134704764032,0.0443213134900669,5,0.25,0.38,9,0,0,0,1,0,1,0,0,0,0,0,0,0,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,FALSE,NA,4389881,6948571,5032249,4946333,4950141
-1,330.142752768746,0.1471538,331.15007793,"C_18 H_22 O_5 C13_1","C19H22O5","C_18 H_21 O_5 C13_1",17,19,1.158,0.263,18,22,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134344.44412338,733955,330.142753755212,0.120933528366322,2,0.29,0.39,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1.07,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71581946573228,NA,NA,NA,NA,120,FALSE,NA,2307067,2242269,NA,NA,NA
0,331.049401934258,0.2692733,332.056588952,"C_13 H_16 O_8 S_1","C13H16O8S","C_13 H_15 O_8 S_1",9,13,1.231,0.615,13,16,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134825.90701052,671412.5,331.04940344568,0.00409036379942756,2,0,0.12,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,FALSE,NA,NA,2422747,NA,2404997,NA
