"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.3","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3454.csv","Sample2_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3462.csv","Sample3_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3470.csv","Sample4_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3456.csv","Sample5_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3464.csv","Sample6_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3592.csv","Sample7_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3458.csv","Sample8_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3466.csv","Sample9_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3474.csv","Sample10_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3478.csv","Sample11_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3486.csv","Sample12_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3494.csv"
0,571.31247330771,0.1553852,572.319660809,"C_29 H_48 O_11","C29H48O11","C_29 H_47 O_11",2,29,1.655,0.379,29,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619369.2195752,404207.5,571.31247330771,0.050621452765728,2,0,0.02,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2824066,2792367,NA
0,573.331316554085,0.1563938,574.338682809,"C_26 H_54 O_11 S_1","C26H54O11S","C_26 H_53 O_11 S_1",1,26,2.077,0.423,26,54,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620469.64655251,395528.5,573.331307368468,0.200376039745483,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,FALSE,NA,3991402,3706634,NA,NA,NA,2776080,NA,NA,NA,NA,NA,3118097
0,574.567960577292,0.2165173,575.575361631,"C_37 H_73 O_1 N_3","C37H73N3O","C_37 H_72 O_1 N_3",1,37,1.973,0.027,37,73,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621020.40093688,337117.666666667,574.567960577292,0.0480544817527441,3,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,13.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34552380,36355444,34194616
0,580.559038277952,0.2354211,581.566451623,"C_37 H_76 O_1 N_1 P_1","C37H76NOP","C_37 H_75 O_1 N_1 P_1",1,37,2.054,0.027,37,76,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624332.32894992,352838.333333333,580.559038277952,0.0706222160831662,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21610324,25018542,21907422
0,582.376020813566,0.0570483,583.383263964,"C_30 H_53 O_8 N_3","C30H53N3O8","C_30 H_52 O_8 N_3",5,30,1.767,0.267,30,53,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625439.06713482,396813,582.37603139095,0.180076241903959,2,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,FALSE,NA,NA,NA,NA,2797542,NA,NA,NA,NA,3561250,NA,NA,NA
0,583.280461914202,0.0871009,584.287789238,"C_37 H_45 O_2 S_1 P_1","C37H45O2PS","C_37 H_44 O_2 S_1 P_1",1,37,1.216,0.054,37,45,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625992.94338434,347551.2,583.280452379248,0.235778620338251,5,0.36,0.38,16,0,0,0,1,0,1,0,0,0,0,0,0,0,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,FALSE,NA,NA,3482584,3256662,8249394,6653949,8077736,NA,NA,NA,NA,NA,NA
0,584.35496640253,0.4881576,585.362528583,"C_29 H_51 O_9 N_3","C29H51N3O9","C_29 H_50 O_9 N_3",1,29,1.759,0.31,29,51,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2626547.15455217,336328,584.354975691505,0.063004965965244,2,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,FALSE,NA,NA,NA,NA,2973837,NA,3402306,NA,NA,NA,NA,NA,NA
0,585.328090263433,0.0953141,586.335310809,"C_30 H_50 O_11","C30H50O11","C_30 H_49 O_11",2,30,1.667,0.367,30,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627101.69827176,413646.666666667,585.328090263433,0.241055754523781,3,0,0.02,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3523439,2962236,4176476
0,589.335922457566,0.1447649,590.343113428,"C_26 H_55 O_12 P_1","C26H55O12P","C_26 H_54 O_12 P_1",1,26,2.115,0.462,26,55,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629323.1513876,339676.25,589.33591473571,0.208413174618394,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,TRUE,"C_37 H_50 O_4 S_1",4832882,5842606,6132807,NA,NA,NA,NA,NA,3459424,NA,NA,NA
0,590.541859889158,0.0180729,591.549147012,"C_40 H_69 N_3","C40H69N3","C_40 H_68 N_3",1,40,1.725,0,40,69,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629879.32238823,356834.666666667,590.541859889158,0.150294680743357,3,0.14,0.14,8,0,0,0,0,0,0,1,0,1,1,0,0,0,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5244914,5244420,4631825
