"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.6","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A1_1-1-31_1_3712.csv","Sample2_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A1_1-1-31_1_3718.csv","Sample3_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A1_1-1-31_1_3724.csv","Sample4_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A2_1-1-32_1_3714.csv","Sample5_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A2_1-1-32_1_3720.csv","Sample6_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A2_1-1-32_1_3726.csv","Sample7_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.1_1-1-33_1_3730.csv","Sample8_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.1_1-1-33_1_3736.csv","Sample9_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.1_1-1-33_1_3742.csv","Sample10_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.2_1-1-34_1_3732.csv","Sample11_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.2_1-1-34_1_3738.csv","Sample12_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.2_1-1-34_1_3744.csv","Sample13_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.3_1-1-35_1_3748.csv","Sample14_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.3_1-1-35_1_3762.csv","Sample15_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.3_1-1-35_1_3768.csv","Sample16_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.1_1-1-36_1_3764.csv","Sample17_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.1_1-1-36_1_3770.csv","Sample18_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.1_1-1-36_1_3772.csv","Sample19_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.2_1-1-37_1_3776.csv","Sample20_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.2_1-1-37_1_3782.csv","Sample21_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.2_1-1-37_1_3788.csv","Sample22_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.3_1-1-38_1_3778.csv","Sample23_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.3_1-1-38_1_3784.csv","Sample24_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.3_1-1-38_1_3790.csv","Sample25_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.1_1-1-39_1_3794.csv","Sample26_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.1_1-1-39_1_3802.csv","Sample27_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.1_1-1-39_1_3810.csv","Sample28_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.2_1-1-40_1_3796.csv","Sample29_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.2_1-1-40_1_3804.csv","Sample30_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.2_1-1-40_1_3812.csv","Sample31_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.3_1-1-41_1_3798.csv","Sample32_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.3_1-1-41_1_3806.csv","Sample33_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.3_1-1-41_1_3814.csv"
0,447.064037693377,0.1605503,448.071386063,"C_14 H_16 O_13 N_4","C14H16N4O13","C_14 H_15 O_13 N_4",1,14,1.143,0.929,14,16,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720556.44213735,485168.2,447.064037693377,0.264993290978509,5,2.67,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,TRUE,"C_24 H_17 O_7 P_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2939276,NA,3919572,3305261,3316753,2828260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,449.05749710944,0.4538369,450.064569285,"C_16 H_18 O_15","C16H18O15","C_16 H_17 O_15",1,16,1.125,0.938,16,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721996.38769155,412326,449.05749710944,0.118406814844882,5,0,0.06,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,FALSE,NA,3241993,NA,NA,NA,2784601,NA,NA,NA,3116251,NA,NA,NA,2767879,NA,NA,3619565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,464.938121743886,0.1558208,465.945325571,"C_21 H_6 O_9 S_2","C21H6O9S2","C_21 H_5 O_9 S_2",1,21,0.286,0.429,21,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732765.4234052,446805.363636364,464.938121743886,0.0788096833995528,33,0.8,0.86,19,1,0,1,0,0,0,0,0,0,0,0,0,0,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,FALSE,NA,9648877,11876563,10018677,8525956,7355943,6494529,6290091,8067592,7685408,4021618,4083729,5994103,6715220,6369862,7311392,5559979,5272400,4843493,8116317,5764430,6746814,13760360,12812029,12907854,7070793,6295355,5265919,6361074,4954758,5722154,7011081,7133975,7116146
-1,467.025583349962,0.0334293,468.032875428,"C_22 H_12 O_12","C22H12O12","C_22 H_11 O_12",2,22,0.545,0.545,22,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2734912.6513321,425715.515151515,467.025583349962,0.0443749852566962,33,0.5,0.69,17,1,1,0,0,0,0,0,0,0,0,0,0,0,6.8,85.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.877798045376,NA,NA,NA,104,FALSE,NA,19594340,18479638,19906784,29522302,28147542,27130448,23624736,24181580,23127628,17182364,14872914,14006128,16578780,18346800,16740687,13629514,14726274,14641418,13662590,13678190,13218838,31652016,30408800,32011916,14747000,13660204,13515661,13775126,12368838,12710238,15088803,14941160,13694557
-1,468.028928848235,0.0532645,469.036230263,"C_21 H_12 O_12 C13_1","C22H12O12","C_21 H_11 O_12 C13_1",2,22,0.545,0.545,21,12,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735627.90215164,444473.896551724,468.028928848235,0.150358529142075,29,0.5,0.69,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1.88,85.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.877798045376,NA,NA,NA,104,FALSE,NA,6118681,6314674,4702607,6158840,7364583,6503122,6864085,5356520,5039839,3583789,3498478,4397033,3987865,5161890,4514274,4720915,3773719,4245913,NA,NA,3802300,8493390,7282954,8304423,NA,3797153,4279373,NA,4062304,3654132,4238697,4045902,4630224
0,481.090507138462,0.0316098,482.097798809,"C_21 H_23 O_11 P_1","C21H23O11P","C_21 H_22 O_11 P_1",1,21,1.095,0.524,21,23,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744903.74667932,462142.807692308,481.090507138462,0.150194193503523,26,0,0.31,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,TRUE,"C_32 H_18 O_3 S_1",2999897,3293916,3885702,NA,NA,2765235,3778048,NA,2920113,NA,NA,4136515,NA,3869106,3422617,2777989,3542235,4346165,3903838,4681268,4431219,4759943,4618694,5029679,3009929,2967267,4036147,4737307,5538900,6732263,NA,2974126,4123859
0,485.048961772796,0.0886914,486.056195095,"C_30 H_14 O_5 S_1","C30H14O5S","C_30 H_13 O_5 S_1",1,30,0.467,0.167,30,14,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747749.49760372,453170.142857143,485.048961772796,0.194514446517439,7,0.75,0.77,24,1,0,1,0,0,0,0,0,0,0,0,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,TRUE,"C_30 H_14 O_5 S_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2787005,NA,NA,NA,3108975,3039273,3210257,3302506,3428780,NA,NA,NA,2870133,NA,NA,NA,NA,NA
0,486.964472072527,0.3802331,487.971934047,"C_17 H_12 O_13 S_2","C17H12O13S2","C_17 H_11 O_13 S_2",1,17,0.706,0.765,17,12,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748460.32087293,442749,486.964472072527,0.182875390505941,4,0,0.41,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,FALSE,NA,2964093,NA,NA,NA,NA,NA,NA,3151838,NA,NA,2817462,NA,NA,NA,NA,NA,2793590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,489.051980118207,0.4639317,490.059483904,"C_18 H_18 O_16","C18H18O16","C_18 H_17 O_16",2,18,1,0.889,18,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750591.31605992,421010.484848485,489.051980118207,0.0833688085200574,33,0,0.2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,FALSE,NA,7048179,9046016,9015294,9544783,8219636,10184207,8833928,10275130,9122759,7879677,9436937,7651926,8415551,8273317,6954623,7571969,7332290,7550504,6219261,6005428,5989101,5473958,4472594,5030965,5837345,7559928,6450246,5938656,5933365,5398277,7187860,5498152,6758576
0,501.283423152465,0.0306476,502.29068419,"C_22 H_47 O_10 P_1","C22H47O10P","C_22 H_46 O_10 P_1",1,22,2.136,0.455,22,47,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759093.56783573,460388,501.283423152465,0.208576420622257,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,TRUE,"C_33 H_42 O_2 S_1",3531864,2961421,NA,NA,NA,3251444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2827583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,502.234659366074,0.1675317,503.242020107,"C_29 H_33 O_5 N_3","C29H33N3O5","C_29 H_32 O_5 N_3",2,29,1.138,0.172,29,33,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759800.55403619,429386.142857143,502.234659366074,0.262726591393717,7,0.33,0.4,15,0,0,0,1,0,1,0,0,0,0,0,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,FALSE,NA,NA,NA,NA,2784040,NA,NA,2823272,NA,2829482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270769,5216160,6171807,NA,NA,NA,NA,NA,NA,2803537,NA,NA
0,503.067654046855,0.403563,504.075133904,"C_19 H_20 O_16","C19H20O16","C_19 H_19 O_16",2,19,1.053,0.842,19,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760507.30941029,410568.28,503.067654046855,0.157469889407785,25,0,0.18,10,0,0,0,1,1,0,0,0,0,0,0,0,0,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,FALSE,NA,5666185,4718909,5192048,5606297,5678071,4877818,5485811,5927543,5344575,5735793,4863978,5122526,4010884,6087952,5134179,5420384,4913808,4058983,3268176,4164278,NA,4149179,NA,NA,4094504,NA,NA,3339929,3412402,NA,2942954,NA,NA
